,x,y,z
4.6,0.0017062,-0.2911254,-0.9503568
4.61,-0.00250766666667,-0.286255,-0.9431
4.62,-0.003983,-0.2921068,-0.9517197
4.63,0.0005887,-0.2954771,-0.9582947
4.64,0.0066073,-0.2904069,-0.9530012
4.65,0.0009984,-0.2856323,-0.9460937
4.66,-0.0055159,-0.2898054,-0.9472522
4.67,-0.0039886,-0.2937407,-0.9552521
4.68,0.0026138,-0.2930325,-0.9554318
4.69,0.0048553,-0.2883499,-0.9467069
4.7,0.0002121,-0.2877596,-0.9450788
4.71,-0.0050488,-0.292195,-0.9538662
4.72,-0.000441,-0.2933184,-0.9585435
4.73,0.0043151,-0.2895403,-0.9509963
4.74,0.0024182,-0.287619,-0.94362
4.75,-0.0018281,-0.2928819,-0.9500901
4.76,-0.0015579,-0.2962053,-0.9572146
4.77,0.0016574,-0.2903506,-0.9506104
4.78,0.0003117,-0.2862597,-0.9449129
4.79,-0.0050258,-0.2885545,-0.9471634
4.8,-0.0038756,-0.2925397,-0.9552289
4.81,0.0038789,-0.2910784,-0.9546494
4.82,0.003566,-0.2871809,-0.9467303
4.83,-0.0020081,-0.2873516,-0.9448135
4.84,-0.0038405,-0.2930283,-0.9536023
4.85,0.0021253,-0.2953723,-0.9573848
4.86,0.0060833,-0.288434,-0.9502165
4.87,-0.000140444444444,-0.285929555556,-0.944229
4.88,-0.004178,-0.292212,-0.9525234
4.89,-0.002808,-0.2942478,-0.9567446
4.9,0.0041474,-0.2899778,-0.9552764
4.91,0.002252,-0.286487,-0.9459744
4.92,-0.0033262,-0.2877194,-0.9453582
4.93,-0.0013642,-0.2915586,-0.9552398
4.94,0.0025936,-0.2925504,-0.9537534
4.95,0.003131,-0.2878998,-0.9448426
4.96,-0.0009738,-0.2859592,-0.947568
4.97,-0.003668,-0.2936038,-0.9529324
4.98,0.001575,-0.294623,-0.958435
4.99,0.0040158,-0.2871248,-0.947989
5.0,-0.0004032,-0.2849186,-0.9422062
5.01,-0.0033416,-0.2916074,-0.9506502
5.02,0.0001952,-0.2952696,-0.9595212
5.03,0.0069764,-0.2915378,-0.9560268
5.04,0.003967,-0.2879796,-0.9456484
5.05,-0.0043614,-0.2900268,-0.943863
5.06,-0.0048218,-0.290219,-0.9537018
5.07,0.0004948,-0.291724,-0.958487
5.08,0.0046568,-0.2863556,-0.9477112
5.09,0.0003204,-0.287488,-0.9462004
5.1,-0.0040708,-0.2948088,-0.9529178
5.11,0.000104,-0.2963196,-0.956894
5.12,0.0042606,-0.2904208,-0.948297
5.13,0.0011812,-0.2878696,-0.9427278
5.14,-0.0035678,-0.2914676,-0.9492588
5.15,-0.000732111111111,-0.295540777778,-0.959491555556
5.16,0.0057422,-0.2914659,-0.954691
5.17,0.0003385,-0.2852703,-0.9453065
5.18,-0.0040161,-0.2881254,-0.9448994
5.19,-0.0029553,-0.2955303,-0.9556729
5.2,0.0046096,-0.2961183,-0.9583192
5.21,0.0063932,-0.2895054,-0.9487583
5.22,-0.0009844,-0.2861909,-0.9433247
5.23,-0.0053998,-0.2906416,-0.9516844
5.24,-0.0020765,-0.2936403,-0.9585035
5.25,0.0037334,-0.2902754,-0.9524092
5.26,0.0026995,-0.2871521,-0.9421155
5.27,-0.0019046,-0.2884151,-0.9478122
5.28,-0.0019973,-0.2925724,-0.9541241
5.29,0.0033615,-0.293042,-0.9566653
5.3,0.0009586,-0.2862194,-0.9426239
5.31,-0.0025465,-0.2832371,-0.9442395
5.32,-0.0033247,-0.2936325,-0.9529173
5.33,0.0040296,-0.2978777,-0.9623839
5.34,0.0044128,-0.2887968,-0.9521955
5.35,-0.0015553,-0.2837954,-0.9413037
5.36,-0.0050282,-0.2903049,-0.9469054
5.37,0.0005918,-0.2957318,-0.9575893
5.38,0.0065934,-0.2927201,-0.9563738
5.39,0.0026276,-0.2873564,-0.9432208
5.4,-0.0030567,-0.2879029,-0.9474868
5.41,-0.0054581,-0.2962924,-0.9590244
5.42,0.0020295,-0.2957134,-0.95786
5.43,0.005127,-0.288361,-0.947266
5.44,-0.000443,-0.283234,-0.943588
5.45,-0.003586,-0.293198,-0.953064
5.46,0.000961,-0.294556,-0.958801
5.47,0.005829,-0.290283,-0.949005
5.48,-0.001434,-0.285217,-0.940079
5.49,-0.004929,-0.289032,-0.946701
5.5,-0.002853,-0.294571,-0.958389
